cod_ibge;municipio;state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
1300680;Boa Vista do Ramos ;AM;17068;19695;21744;27945;31626;32412;60824;66987;55076;69953;82357;100001;98384;101807;110655;125739;139703
1300706;Boca do Acre ;AM;59575;75733;87539;105057;117492;117639;125583;125628;151889;189565;209052;236629;277842;286360;328570;365383;416148
1300805;Borba ;AM;79903;66270;71896;74003;87129;88509;100248;110687;156532;212851;212496;236239;254923;260752;270980;296371;303714
1300839;Caapiranga ;AM;35090;27914;29346;31566;36762;42114;44360;48983;66861;91814;94805;111291;130604;135541;145057;142346;156312
1300904;Canutama ;AM;17773;18634;21200;24059;31590;43589;40008;40741;49394;64005;70361;81427;88213;88114;99109;103082;107613
1301001;Carauari ;AM;75825;71798;73245;76203;89415;89062;97770;108390;129697;169945;161914;214486;235646;251054;270919;286003;306340
1301100;Careiro ;AM;66630;70375;67763;63630;74157;88773;94912;110566;143727;164045;171485;193802;217517;247025;250074;272854;314585
1301159;Careiro da Várzea ;AM;160412;163506;63423;150752;103909;125513;103169;111867;188023;240114;202958;234401;241431;269183;295991;313356;337266
1301209;Coari ;AM;867190;1025923;1254629;1550648;1929651;1838036;2224643;1536068;1998793;3284130;4207961;4558712;3105211;2261617;1170225;1322937;2015916
1301308;Codajás ;AM;62901;47249;48936;52760;81530;84208;85222;82985;120603;484044;446417;492322;651855;742360;651453;464273;500695
1301407;Eirunepé ;AM;59045;59180;62218;85305;110937;87343;104480;125231;151777;196566;282975;340332;382850;403200;398027;434006;517544
1301506;Envira ;AM;29073;33834;31110;36300;40717;46675;55309;58939;71690;87440;113710;116857;124880;129131;142361;148766;157496
1301605;Fonte Boa ;AM;66630;69977;71222;73506;86996;71916;77112;79687;95662;116023;122127;132637;151621;156442;151641;167593;180920
1301654;Guajará ;AM;26050;27219;27194;29210;34086;40540;46916;49026;51646;63044;77468;92709;100262;106588;111353;115995;123592
1301704;Humaitá ;AM;63209;74487;88471;102526;112992;136975;150044;178078;217550;288715;307585;367181;422861;450582;482341;556079;622149
1301803;Ipixuna ;AM;24117;26487;28768;33231;42097;41618;50770;55894;69654;76808;84610;106738;112260;120605;126316;139916;152286
