codigo_ibge;municipio;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1400407;Normandia ;7013;2963;2970;3525;4275;2411;2420;1693;2233;3251;3570;4960
1400456;Pacaraima ;3772;1267;1272;1347;1138;1139;939;829;1241;520;600;512
1400472;Rorainópolis ;2291;2411;2416;2511;2313;2415;2415;2676;1279;1290;1274;667
1400506;São João da Baliza ;678;728;728;798;678;651;651;526;511;88;223;47
1400605;São Luiz ;851;991;994;1079;951;585;546;616;642;65;135;62
1400704;Uiramutã ;412;452;452;532;472;483;928;1448;1838;1558;958;1408
1500107;Abaetetuba ;1435;1835;1660;2430;2880;2880;2880;2880;2390;2460;2390;2840
1500131;Abel Figueiredo ;2095;2255;3510;3720;2165;2140;1130;855;1144;1170;1201;4512
1500206;Acará ;37451;24703;24656;23456;23471;20935;25650;25740;18425;18450;19365;18450
1500305;Afuá ;0;0;0;80;70;100;0;0;100;100;100;110
1500347;Água Azul do Norte ;2230;2887;2093;2240;2612;4310;4551;4560;4549;4943;5134;5582
1500404;Alenquer ;15164;14336;11750;13625;11555;16505;15645;15638;11770;14339;11770;11720
1500503;Almeirim ;743;743;306;348;496;480;400;440;637;415;405;405
1500602;Altamira ;6471;8511;9058;9526;9247;9142;8043;12395;8153;7853;7853;29208
1500701;Anajás ;200;200;202;274;176;151;151;125;130;130;324;330
1500800;Ananindeua ;0;0;0;100;100;100;100;0;0;5;0;0
1500859;Anapu ;4378;2367;3138;2831;2876;2760;1845;945;1125;1275;1275;1285
1500909;Augusto Corrêa ;7014;6494;5853;7363;8033;6060;5758;6358;6026;6063;3134;2506
1500958;Aurora do Pará ;7720;7760;11750;7775;7860;7700;7550;7020;3380;3410;3428;2322
1501006;Aveiro ;1862;2344;2148;2167;2317;2309;2257;2579;2697;3100;2204;2184
1501105;Bagre ;300;300;300;265;111;82;72;86;69;69;824;1310
1501204;Baião ;3150;3150;3150;2200;2100;2250;500;580;470;500;500;10250
1501253;Bannach ;3904;1813;416;265;235;235;245;550;125;193;141;147
1501303;Barcarena ;1464;1555;1554;1535;1645;1580;1510;1510;1790;1946;1940;1940
1501402;Belém ;0;0;0;100;100;100;100;0;0;170;0;0
1501451;Belterra ;31085;28340;26660;28780;30800;29807;30372;24217;22507;28157;23113;22213
1501501;Benevides ;0;0;0;30;30;0;0;0;0;0;0;0
1501576;Bom Jesus do Tocantins ;3170;3005;3290;3939;2480;2380;2380;2510;2820;3170;3000;1083
1501600;Bonito ;2328;1998;2015;915;770;830;730;730;125;1100;725;770
1501709;Bragança ;13222;13428;11122;13165;14311;13970;13340;13570;6555;6555;6476;7045
1501725;Brasil Novo ;866;819;814;787;1138;778;583;583;558;533;835;434
1501758;Brejo Grande do Araguaia ;1195;1195;1025;1055;1065;1195;820;1375;705;795;795;1295
1501782;Breu Branco ;3750;3820;3650;3580;4880;5030;5560;5710;5410;6110;565;425
1501808;Breves ;855;855;855;925;340;295;315;101;386;426;465;364
1501907;Bujaru ;5290;6290;1030;1010;944;790;1100;1205;1160;1290;1288;1290
1501956;Cachoeira do Piriá ;3690;3500;3450;3630;3650;3360;3340;3201;1530;2317;2532;2931
1502004;Cachoeira do Arari ;108;108;19;2518;2960;3260;3710;4670;4850;4850;5950;6430
1502103;Cametá ;2576;2576;3176;3176;3176;1266;7590;3780;6090;7590;7580;7710
1502152;Canaã dos Carajás ;1437;1767;1932;1957;1941;2252;2763;3290;3633;4963;5667;6478
1502202;Capanema ;5552;6057;4453;4753;4400;3770;3770;3768;4876;4032;3557;7002
1502301;Capitão Poço ;8180;6630;6190;5390;6440;6440;6640;6640;4225;5665;6530;6250
1502400;Castanhal ;8050;7820;8220;5900;5500;5100;5100;9260;9350;4800;4880;4880
1502509;Chaves ;0;0;0;60;60;70;0;0;70;70;70;100
1502608;Colares ;2166;1326;1341;786;786;396;396;327;310;395;395;395
1502707;Conceição do Araguaia ;6575;4520;4820;4170;4240;4260;3070;2945;4300;4250;5172;5972
1502756;Concórdia do Pará ;5660;5676;5676;5462;4797;4842;6522;2070;2980;2715;2719;2729
1502764;Cumaru do Norte ;12530;7730;8780;6730;10050;7730;10772;13610;23095;40178;22507;24958
1502772;Curionópolis ;1975;1975;1814;1855;1855;2155;2255;1505;2420;3020;3020;3100
1502806;Curralinho ;240;240;242;268;337;292;292;638;415;415;423;460
1502855;Curuá ;4620;4288;2662;1169;1182;153;152;244;251;263;283;257
1502905;Curuçá ;345;350;405;554;560;1060;1060;1040;1040;985;935;870
1502939;Dom Eliseu ;23090;22930;20640;26449;35430;57990;58110;95660;91235;106840;108720;93360
1502954;Eldorado do Carajás ;8160;8160;1550;930;930;930;1550;1550;2140;2450;2450;2170
1503002;Faro ;775;901;5137;744;1256;1048;632;737;696;730;274;275
1503044;Floresta do Araguaia ;16950;16650;12480;14850;17700;18550;17050;19240;21620;20193;19243;16894
1503077;Garrafão do Norte ;7000;4250;6360;3860;6390;3790;3790;3620;3265;4745;3800;3930
1503093;Goianésia do Pará ;4405;3405;4005;4005;4010;4010;4210;5170;4120;4770;180;163
1503101;Gurupá ;456;471;388;398;548;594;594;545;539;535;539;539
1503200;Igarapé-Açu ;1281;1281;1685;1757;1730;1760;1710;1480;2130;1700;2930;1395
1503309;Igarapé-Miri ;1717;1717;1647;1642;1632;1625;1655;1655;2122;2122;2122;2122
1503408;Inhangapi ;1872;1905;1890;2195;1895;1925;1505;1419;2034;1505;1528;1528
1503457;Ipixuna do Pará ;23340;21095;18002;22906;20705;17060;10160;5660;6680;6925;7000;14044
1503507;Irituia ;1490;1022;932;698;714;1083;1405;2035;1345;1375;1375;1375
1503606;Itaituba ;21938;19203;16990;16555;18305;15805;17310;11014;4490;4490;3471;2829
1503705;Itupiranga ;24420;24420;17010;12870;13380;8490;7180;6480;6500;6670;6500;6656
1503754;Jacareacanga ;1087;1292;1659;1754;1976;1744;2299;2419;2359;2483;2359;2921
1503804;Jacundá ;1880;1880;2050;2306;2306;2212;2418;2415;3115;3015;270;67
1503903;Juruti ;8071;9841;9725;9832;15747;15622;30773;12359;12313;12357;12159;12115
1504000;Limoeiro do Ajuru ;103;110;110;105;142;123;154;186;204;164;164;570
1504059;Mãe do Rio ;4640;4640;4060;4248;1760;1680;1680;1681;1693;1743;1790;1510
1504109;Magalhães Barata ;970;577;1325;441;1116;1131;1121;966;840;1091;1091;1055
1504208;Marabá ;14050;9600;9200;9100;7400;11800;11850;11515;12015;13015;13015;13040
1504307;Maracanã ;1284;1212;1477;1552;1552;1535;1535;1160;1584;1545;1665;1420
1504406;Marapanim ;2070;2120;1990;1920;1920;1918;1918;1001;2177;1838;2010;730
1504422;Marituba ;0;0;0;0;0;0;0;0;0;0;0;0
1504455;Medicilândia ;5670;4243;4573;5468;3838;2923;2768;1273;928;1068;1068;1283
1504505;Melgaço ;270;270;270;277;202;182;182;180;405;415;380;429
1504604;Mocajuba ;1130;725;725;725;725;800;800;900;880;1300;900;19000
1504703;Moju ;3925;4405;4905;4905;5905;5140;4970;5070;7580;7580;7580;7580
1504752;Mojuí dos Campos ;0;0;0;0;0;24679;31125;24995;22585;36045;30426;31579
1504802;Monte Alegre ;48570;48470;28844;25498;25213;25443;22380;23530;18282;20202;15985;14953
1504901;Muaná ;109;142;140;140;110;160;50;42;94;94;94;50
1504950;Nova Esperança do Piriá ;4350;5680;3750;5250;3800;5080;5080;5080;1625;3600;4850;4873
1504976;Nova Ipixuna ;2536;2536;1874;1554;1874;1919;1334;1416;1340;926;1000;1036
1505007;Nova Timboteua ;2730;2500;2180;2200;2230;2140;2140;2060;1150;1650;2200;1360
1505031;Novo Progresso ;8550;9370;5760;6405;4117;5372;5297;5777;34267;40267;13244;19539
1505064;Novo Repartimento ;15457;15457;14407;20402;13402;15917;15410;13410;9810;7410;1058;783
1505106;Óbidos ;12769;14984;12998;12827;13230;12392;12210;17250;13790;13827;21125;20997
1505205;Oeiras do Pará ;1793;2285;2055;2595;4035;3570;4030;4120;8370;4370;4170;4059
1505304;Oriximiná ;8879;9028;11270;11235;12103;12528;15537;18595;15432;16337;15366;15349
1505403;Ourém ;1445;1515;1240;1340;1210;1250;1250;1410;1252;1260;1210;1210
1505437;Ourilândia do Norte ;1893;1853;1889;1390;1368;1617;627;625;441;331;511;525
1505486;Pacajá ;13387;11456;9830;10099;10089;7470;7120;6715;4543;5143;5143;5205
1505494;Palestina do Pará ;1609;1609;1050;455;455;465;395;505;610;605;605;695
1505502;Paragominas ;49700;52750;57370;57379;67053;58000;57250;126500;123898;138210;171650;187258
1505536;Parauapebas ;9875;9285;9470;8645;8645;8005;8330;9180;7295;7520;6930;7550
1505551;Pau D'Arco ;2265;2010;1460;1270;755;490;550;490;1297;772;615;610
1505601;Peixe-Boi ;2150;2100;1595;1530;1440;1290;1290;1240;1316;950;1306;1155
1505635;Piçarra ;3726;3794;2942;2765;2670;2838;4314;4310;5252;4302;4337;4772
1505650;Placas ;4562;4489;5132;5192;5207;4245;4997;3594;3634;3383;2579;2853
1505700;Ponta de Pedras ;184;184;165;165;165;50;50;114;79;79;73;30
1505809;Portel ;757;757;757;657;4225;4200;4200;4477;9515;11173;12117;14503
1505908;Porto de Moz ;837;965;833;800;918;873;878;1204;770;770;770;770
1506005;Prainha ;7836;8113;7815;5918;5320;4138;4259;1550;2268;4193;4184;4184
1506104;Primavera ;1265;1335;1048;1148;915;950;945;1290;1206;723;1206;501
1506112;Quatipuru ;650;590;580;530;580;510;510;510;566;262;495;550
1506138;Redenção ;7890;5045;3845;5780;3830;4130;5165;6970;10638;12645;10490;10453
1506161;Rio Maria ;2269;1251;1244;949;1389;1519;1257;1347;1537;1569;2415;1344
1506187;Rondon do Pará ;9560;10320;11700;14048;17330;18780;20020;18366;41916;50016;51935;38246
1506195;Rurópolis ;9827;7857;7278;7570;7040;6345;6565;7415;5715;5510;5715;5200
1506203;Salinópolis ;1380;1370;1015;965;890;780;780;780;561;305;780;522
1506302;Salvaterra ;510;510;455;410;395;450;450;550;1040;1190;1690;2250
1506351;Santa Bárbara do Pará ;0;0;0;200;200;150;150;30;30;320;255;235
1506500;Santa Izabel do Pará ;100;300;200;200;400;200;200;0;0;0;70;400
